player_id,player_name,bat_style,bowl_style,field_pos,player_full_name,player_name2,player_image
267,F du Plessis,Right hand Bat,Legbreak,Unknown,Francois du Plessis,Francois du,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Faf%20Du%20Plessis.png
13320,Yashpal Singh,Right hand Bat,Right arm Medium,Unknown,Yashpal Singh,Yashpal Singh,No Image
13228,JD Ryder,Left hand Bat,Right arm Medium,Unknown,Jesse Daniel Ryder,Jesse Daniel,No Image
2768,SM Curran,Left hand Bat,Left arm Medium fast,Unknown,Samuel Matthew Curran,Samuel Matthew,No Image
1630,M Vijay,Right hand Bat,Right arm Offbreak,Unknown,Murali Vijay,Murali Vijay,No Image
36227,SMSM Senanayake,Right hand Bat,Right arm Offbreak,Unknown,Senanayake Mudiyanselage Sachithra Madhushanka Senanayake,Senanayake Mudiyanselage,No Image
1398,C Munro,Left hand Bat,Right arm Medium fast,Unknown,Colin Munro,Colin Munro,No Image
12314,Gagandeep Singh,Right hand Bat,Right arm Medium fast,Unknown,Gagandeep Singh,Gagandeep Singh,No Image
34058,S Rana,Right hand Bat,Right arm Medium fast,Unknown,Sachin Rana,Sachin Rana,No Image
8,S Aravind,Left hand Bat,Left arm Medium fast,Unknown,Sreenath Aravind,Sreenath Aravind,No Image
341,S Badree,Right hand Bat,Legbreak,Unknown,Samuel Badree,Samuel Badree,No Image
14278,AB McDonald,Right hand Bat,Right arm Fast medium,Unknown,Andrew Barry McDonald,Andrew Barry,No Image
184,PJ Cummins,Right hand Bat,Right arm Fast,Unknown,Patrick James Cummins,Patrick James,No Image
4078,I Udana,Right hand Bat,Left arm Medium fast,Unknown,Isuru Udana Tillakaratna,Isuru Udana,No Image
1998,M Ashwin,Right hand Bat,Legbreak Googly,Unknown,Murugan Ashwin,Murugan Ashwin,No Image
13203,T Thushara,Left hand Bat,Left arm Fast medium,Unknown,Magina Thilan Thushara Mirando,Magina Thilan,No Image
14649,DR Martyn,Right hand Bat,Right arm Medium,Unknown,Damien Richard Martyn,Damien Richard,No Image
11998,LRPL Taylor,Right hand Bat,Right arm Offbreak,Unknown,Luteru Ross Poutoa Lote Taylor,Luteru Ross,No Image
12765,PM Sarvesh Kumar,Right hand Bat,Right arm Medium,Unknown,PM Sarvesh Kumar,PM Sarvesh,No Image
8312,Sikandar Raza,Right hand Bat,Right arm Offbreak,Unknown,Sikandar Raza Butt,Sikandar Raza,No Image
12842,Abdur Razzak,Left hand Bat,Slow Left arm Orthodox,Unknown,Abdur Razzak,Abdur Razzak,No Image
7005,DG Nalkande,Right hand Bat,Right arm Fast medium,Unknown,Darshan Girish Nalkande,Darshan Girish,No Image
16296,J Syed Mohammad,Left hand Bat,Slow Left arm Orthodox,Unknown,Jamaluddin Syed Mohammad,Jamaluddin Syed,No Image
2745,KMA Paul,Right hand Bat,Right arm Fast medium,Unknown,Keemo Mandela Angus Paul,Keemo Mandela,No Image
14873,NLTC Perera,Left hand Bat,Right arm Medium fast,Unknown,Narangoda Liyanaarachchilage Thisara Chirantha Perera,Narangoda Liyanaarachchilage,No Image
6727,A Badoni,Right hand Bat,Right arm Offbreak,Unknown,Ayush Badoni,Ayush Badoni,https://www.espncricinfo.com/cricketers/ayush-badoni-1151270
1471,TK Curran,Right hand Bat,Right arm Fast medium,Unknown,Thomas Kevin Curran,Thomas Kevin,No Image
14454,Anirudh Singh,Left hand Bat,Right arm Medium,Unknown,Anirudh Singh,Anirudh Singh,No Image
3793,J Suchith,Left hand Bat,Slow Left arm Orthodox,Unknown,Jagadeesha Suchith,Jagadeesha Suchith,No Image
1581,Shivam Mavi,Right hand Bat,Right arm Fast medium,Unknown,Shivam Pankaj Mavi,Shivam Pankaj,No Image
57,CA Lynn,Right hand Bat,Slow Left arm Orthodox,Unknown,Christopher Austin Lynn,Christopher Austin,No Image
5986,VR Iyer,Left hand Bat,Right arm Medium,Unknown,Venkatesh Rajasekaran Iyer,Venkatesh Rajasekaran,No Image
12369,DP Vijaykumar,Right hand Bat,Right arm Medium,Unknown,David Paidikalva Vijaykumar,David Paidikalva,No Image
178,SW Billings,Right hand Bat,Unknown,Wicketkeeper,Samuel William Billings,Samuel William,No Image
33963,Y Gnaneswara Rao,Right hand Bat,Right arm Medium,Unknown,Yalaka Gnaneswara Rao,Yalaka Gnaneswara,No Image
